end_year,citylng,citylat,intensity,sector,topic,insight,swot,url,region,start_year,impact,added,published,city,country,relevance,pestle,source,title,likelihood
2023,,,60,,,Combined Heat & Power Market worth 27.01 Bn USD by 2023,,https://www.asdreports.com/news-28829/combined-heat-power-market-worth-2701-bn-usd-2023,World,,3,"June, 22 2018 04:54:11","June, 19 2018 00:00:00",,,5,,asdreports,The global CHP market is estimated to reach USD20.69 Billion in 2018 and is projected to reach USD27.01 Billion by 2023.,4
2027,,,72,Government,law,Time is right for marijuana entrepreneurs to enter the global market,,https://mjbizdaily.com/marijuana-entrepreneurs-enter-global-market/,World,,3,"June, 23 2018 12:23:53","June, 19 2018 00:00:00",,,6,Political,Marijuana Business Daily,Spending on legal cannabis is forecast to reach $57 billion around the world by 2027.,4
2029,,,8,Manufacturing,automation,Improving employment of older people could boost UK GDP by £180bn,,http://workplaceinsight.net/improving-employment-of-older-people-could-boost-uk-gdp-by-180bn/,Northern Europe,2020,,"June, 21 2018 12:43:53","June, 19 2018 00:00:00",,United Kingdom,4,Economic,workplaceinsight,In the UK up to 23 percent of jobs currently held by 55+ workers could be displaced by automation technology in the next decade.,2
2020,,,16,Information Technology,population,Technology and flexible working patterns: Transforming the way we work,,https://www.openaccessgovernment.org/technology-flexible-work-uk/46776/,World,,,"June, 23 2018 00:47:30","June, 19 2018 00:00:00",,,4,Social,ADJACENT Government Open Acess Government,"Within two years, 80% of the world's population will own a smartphone.",4
2020,,,48,,,Thousands of public buildings sold off annually by cash-strapped councils,,https://news.sky.com/story/thousands-of-public-buildings-sold-off-annually-by-cash-strapped-councils-11409206,,,3,"June, 21 2018 12:01:36","June, 19 2018 00:00:00",,,4,,Sky News,UK councils will have £90.7bn to spend on local services over the next two years.,4
2020,,,12,Information Technology,internet of things,Top 10 trends for Digital in 2018,Opportunity,https://www.digitaldoughnut.com/articles/2018/may/top-10-trends-for-digital-in-2018,,,,"June, 19 2018 02:17:22","June, 19 2018 00:00:00",,,3,Economic,Digital Doughtnut,"By 2020, 30% of G2000 companies will be using data from digital twins of IoT connected products and assets to improve product innovation success rates and organizational productivity.",4
2020,,,16,Information Technology,computing,Twistlock Releases Active Threat Protection for Serverless Functions,,https://containerjournal.com/2018/06/19/twistlock-releases-active-threat-protection-for-serverless-functions/,World,,,"June, 25 2018 09:22:35","June, 19 2018 00:00:00",,,4,Technological,Container Journal,More than 20% of global enterprises will have deployed serverless computing technologies by 2020.,4
2020,,,12,Financial services,income,"No title could be extracted, please add manually",,http://leg.colorado.gov/sites/default/files/june2018forecast.pdf,,,,"June, 26 2018 00:41:33","June, 19 2018 00:00:00",,,3,Economic,COLORADO LEGISLATIVE COUNCIL STAFF ECONOMICS SECTION,"Over the next two years, higher wage and investment incomes in Colorado are expected to bolster household spending even as prices inflate more quickly and demographic change dampens consumption patterns.",4
2022,,,16,Aerospace & defence,airplane,Corporate Responsibility,,https://www.britishairways.com/en-gb/information/about-ba/csr/corporate-responsibility,,2017,,"June, 19 2018 01:23:39","June, 19 2018 00:00:00",,,4,Industries,British Airways,"Between 2017 and 2022, British Airways will introduce 72 new aircraft.",4
2021,,,12,,,Trump admin finalizes Association Health Plan expansion,,https://www.healthcaredive.com/news/trump-admin-finalizes-association-health-plan-expansion/526068/,Northern America,,,"June, 20 2018 12:32:30","June, 19 2018 00:00:00",,United States of America,3,,Healthcare Dive,4 million additional Americans will enroll in AHPs within a few years.,4
2021,,,12,Manufacturing,car,"Keynote: Collaboration - Fast Lane to Automotive Disruption with NXP, DeepScale, Samsung, and NIO",,https://www.youtube.com/watch?v=J0x4jPr1WmQ,,,,"June, 22 2018 12:51:32","June, 19 2018 00:00:00",,,3,Social,YouTube,"Autonomy, electrification, and secure connectivity will make the semiconductor content in cars grow steadily in the coming years.",4
2048,,,12,Manufacturing,car,"WATCH: European renewable ethanol, a clean mobility solution",,https://epure.org/news-and-media/news/watch-european-renewable-ethanol-a-clean-mobility-solution/,Europe,,,"June, 25 2018 14:38:22","June, 19 2018 00:00:00",,,4,Social,ePure,A new study confirms that a high percentage of cars with internal combustion engines will still be on Europe's roads for decades.,3
2019,,,40,Energy,gas,"No title could be extracted, please add manually",,http://leg.colorado.gov/sites/default/files/june2018forecast.pdf,,2017,2,"June, 26 2018 00:41:30","June, 19 2018 00:00:00",,,5,Political,COLORADO LEGISLATIVE COUNCIL STAFF ECONOMICS SECTION,Colorado severance taxes from oil and natural gas are forecast to total $95.2 million in FY 2017-18 and $203.1 million in FY 2018-19.,4
2019,,,40,Healthcare,tax,"No title could be extracted, please add manually",,http://leg.colorado.gov/sites/default/files/june2018forecast.pdf,,2017,2,"June, 26 2018 00:41:32","June, 19 2018 00:00:00",,,5,Political,COLORADO LEGISLATIVE COUNCIL STAFF ECONOMICS SECTION,Colorado's total marijuana tax revenue is expected to reach $253.8 million in FY 2017-18 and $271.3 million in FY 2018-19.,4
2019,,,16,,income,"No title could be extracted, please add manually",,http://leg.colorado.gov/sites/default/files/june2018forecast.pdf,Northern America,2018,,"June, 26 2018 00:41:33","June, 19 2018 00:00:00",,United States of America,4,Lifestyles,COLORADO LEGISLATIVE COUNCIL STAFF ECONOMICS SECTION,U.S. personal income is projected to grow 4.8 percent in 2018 and 5.1 percent in 2019.,4
2018,,,12,Energy,oil,"No title could be extracted, please add manually",,http://leg.colorado.gov/sites/default/files/june2018forecast.pdf,,,,"June, 26 2018 00:41:34","June, 19 2018 00:00:00",,,3,Economic,COLORADO LEGISLATIVE COUNCIL STAFF ECONOMICS SECTION,"Based on futures contracts, commodity traders expect lower oil prices for the remainder of the year.",4
2018,,,16,Food & agriculture,hunger,The Five Conflicts Driving the Bulk of the World's Refugee Crisis,Threat,https://www.nytimes.com/2018/06/19/world/five-conflicts-driving-refugees.html?partner=rss&emc=rss,Eastern Africa,,,"June, 22 2018 02:59:25","June, 19 2018 00:00:00",,South Sudan,4,Social,NY Times,"This year, South Sudan is in the midst of a hunger crisis that is expected to be the worst yet.",4
2018,,,12,,economy,Weaker Economic Growth Forecast for All Provinces in 2018,,https://www.conferenceboard.ca/press/newsrelease/2018/05/29/weaker-economic-growth-forecast-for-all-provinces-in-2018?&AspxAutoDetectCookieSupport=1,,,,"June, 19 2018 13:42:23","June, 19 2018 00:00:00",,,3,Economic,Conference Board of Canada,Alberta's economy is forecast to expand by 1.9 per cent this year.,4
2018,,,12,Energy,oil,Weaker Economic Growth Forecast for All Provinces in 2018,,https://www.conferenceboard.ca/press/newsrelease/2018/05/29/weaker-economic-growth-forecast-for-all-provinces-in-2018?&AspxAutoDetectCookieSupport=1,,,,"June, 19 2018 13:42:24","June, 19 2018 00:00:00",,,3,Economic,Conference Board of Canada,"Fuelled by accelerating oil production at Hebron, Newfoundland and Labrador's real GDP is forecast to advance by 1.6 per cent this year.",4
2018,,,60,Retail,internet of things,The IoT's Perplexing Security Problems,Strength,https://www.ecommercetimes.com/story/The-IoTs-Perplexing-Security-Problems-85400.html,,,3,"June, 20 2018 12:28:50","June, 19 2018 00:00:00",,,5,Economic,E-Commerce Times,"Consumer IoT spending will total $62 billion this year, making it the fourth largest industry segment, after manufacturing, transportation and utilities.",4
2050,,,80,Transport,autonomous vehicle,Fastest driverless vehicle to hit Australian roads unveiled in Adelaide,,http://www.abc.net.au/news/2018-06-19/fastest-driverless-vehicle-unveiled-in-adelaide/9887458,,,4,"June, 22 2018 01:56:18","June, 19 2018 00:00:00",,,5,Industries,ABC News,The international market for autonomous vehicles is expected to be worth US$7 trillion by 2050.,4
2040,,,12,Transport,flight,EUROCONTROL addresses serious issues facing capacity now and in future,,http://www.airsideint.com/eurocontrol-addresses-serious-issues-facing-capacity-now-and-in-future/,,,,"June, 25 2018 04:38:46","June, 19 2018 00:00:00",,,3,Industries,Airside International,"Even though airports are expanding their capacity plans, with the top 20 airports planning to add 2.4 million runway movements, this will not be enough: On the most likely scenario, 1.5 million flights - 160 million passe",4
2030,,,32,,,The Potential for Expanded U.S. Trade with Middle Income Countries,,https://www.stimson.org/content/potential-expanded-us-trade-middle-income-countries,,,4,"June, 22 2018 04:08:08","June, 19 2018 00:00:00",,,4,,Stimson,"Middle income countries collectively represent an approximately $35 trillion marketplace: By 2030, this could reach $50 trillion.",2
2038,,,9,Energy,transport,'Answers are needed': Energy Industry feels left in the dark over Brexit,,https://www.businessgreen.com/bg/news-analysis/3034386/answers-are-needed-energy-industry-feels-left-in-the-dark-over-brexit,,,,"June, 19 2018 13:29:45","June, 19 2018 00:00:00",,,3,Political,Business Green,The stranglehold of petrol and diesel for road transport will be broken over the next two decades.,3
2035,,,12,Energy,energy,Denison Consulting Group Offers First-of-its-Kind Cloud-Based Managed Services for Global Manufacturers,,https://research.tdameritrade.com/grid/public/markets/news/story.asp?fromPage=results&docKey=100-166p3289,,,,"June, 19 2018 06:55:56","June, 19 2018 00:00:00",,,3,Industries,tdameritrade,"U.S. manufacturers consume approximately 30 percent of the nation's energy, and conservative estimates predict energy costs will rise over 70 percent by 2035.",4
2023,,,16,Manufacturing,textile,"Carbon Textile Reinforced Concrete Market 2018 Global Share, Tre - WFMJ.com News weather sports for Youngstown-Warren Ohio",Strength,http://www.wfmj.com/story/38454113/carbon-textile-reinforced-concrete-market-2018-global-share-trend-segmentation-and-forecast-to-2023,,,,"June, 25 2018 06:42:52","June, 19 2018 00:00:00",,,4,Industries,WFMJ,The worldwide market for Carbon Textile Reinforced Concrete is expected to grow at a CAGR of roughly 4.5% over the next five years.,4
2025,,,12,Information Technology,e-commerce,Mintel predicts the future of 'new retail',,http://www.mintel.com/press-centre/retail-press-centre/mintel-predicts-the-future-of-new-retail,,2015,,"June, 22 2018 11:45:48","June, 19 2018 00:00:00",,,3,Economic,Mintel,"From 2015 to 2025, e-commerce will rise in value by over 290%.",4
2025,,,40,,,"Global Connected Thermostats Market 2018: Growth, Latest Trend & Forecast 2025",,https://www.military-technologies.net/2018/06/19/global-connected-thermostats-market-2018-growth-latest-trend-forecast-2025/,World,,2,"June, 25 2018 05:01:24","June, 19 2018 00:00:00",,,5,,Miltech,The global Connected Thermostats market is valued at million US$ in 2017 and will reach million US$ by the end of 2025.,4
2020,103.8558207,1.293033466,16,Retail,network,Singapore's largest electric vehicle charging network to have 500 charging points islandwide by 2020,Strength,https://www.channelnewsasia.com/news/singapore/singapore-s-largest-electric-vehicle-charging-network-to-have-10445736,South-Eastern Asia,,,"June, 22 2018 05:27:59","June, 19 2018 00:00:00",Singapore,Singapore,4,Social,Channel News Asia,"Singapore's largest electric vehicle charging network will be made available in public areas such as malls, residential areas and business parks by 2020.",4
2020,,,12,Construction,city,Alstom signs €100m contract to supply Frankfurt trams,,http://www.railjournal.com/index.php/light-rail/alstom-signs-E100m-contract-to-supply-frankfurt-trams.html?device=auto,,,,"June, 22 2018 01:29:30","June, 19 2018 00:00:00",,,3,Social,Rail Journal,"Central Frankfurt will have a population of nearly 825,000 within its administrative boundaries by 2020 and up to 2.5 million residents living in its greater urban area.",4
2020,,,12,,,Agriculture and horticulture in numbers,,https://www.climatechangepost.com/czech-republic/agriculture-and-horticulture/,Eastern Europe,,,"June, 19 2018 03:44:16","June, 19 2018 00:00:00",,Austria,3,,Climatechangepost.com,"Climate conditions for the Czech Republic and the northern parts of Austria show that by 2020, the combination of increased air temperature and changes in the amount and distribution of precipitation will bring prolonged growing season and significant shifts in agroclimatic zones in Central Europe.",4
2020,,,40,Government,income,"No title could be extracted, please add manually",,http://leg.colorado.gov/sites/default/files/june2018forecast.pdf,,2019,2,"June, 26 2018 00:41:28","June, 19 2018 00:00:00",,,5,Political,COLORADO LEGISLATIVE COUNCIL STAFF ECONOMICS SECTION,Colorado corporate income tax revenue will decline 4.3 percent in FY 2019-20 to $745.0 million.,4
2021,,,12,Transport,bicycle,"Ergometer Exercise Bikes Market Global Growth, Trends, Analysis and Forecast to 2023",,http://orbisnewsrelease.com/2018/06/19/ergometer-exercise-bikes-market-global-growth-trends-analysis-forecast-2023/,,,,"June, 26 2018 05:15:58","June, 19 2018 00:00:00",,,3,Industries,Orbis News Release,"In the next few years, ergometer exercise bikes industry will still be a highly energetic industry.",4
2022,,,60,Information Technology,retail,Brazil's home-grown e-commerce players set to take on Amazon,,https://www.thenational.ae/business/technology/brazil-s-home-grown-e-commerce-players-set-to-take-on-amazon-1.726379,,,3,"June, 19 2018 03:42:47","June, 19 2018 00:00:00",,,5,Economic,The National,"In 2016, retail e-commerce sales amounted to $16.55 billion and are projected to grow to $31.67bn dollars by 2022.",4
2021,,,12,Information Technology,cloud,"AI experts from Apple, Microsoft, VMware and more to give GeekWire Cloud Tech Summit tech talks",,https://www.geekwire.com/2018/boost-natural-intelligence-ai-track-geekwire-cloud-tech-summit/,,,,"June, 20 2018 12:56:24","June, 19 2018 00:00:00",,,3,Technological,GeekWire,More and more cloud services will make use of AI and machine learning tech over the next several years.,4
2022,,,16,Energy,solar power,UK solar power growth halves for second year running,,https://www.edie.net/news/10/UK-solar-power-growth-halves-for-second-year-running/,Northern Europe,,,"June, 22 2018 01:22:33","June, 19 2018 00:00:00",,United Kingdom,4,Industries,edie.net,"By 2022, SolarPowerEurope forecasts the UK will add just 2.1 GW of solar, while Germany will add 20 GW, France 11.7 GW and Spain 8.8 GW.",4
2019,,,40,Government,income,"No title could be extracted, please add manually",,http://leg.colorado.gov/sites/default/files/june2018forecast.pdf,,2018,2,"June, 26 2018 00:41:28","June, 19 2018 00:00:00",,,5,Political,COLORADO LEGISLATIVE COUNCIL STAFF ECONOMICS SECTION,Colorado corporate income tax revenue will continue to increase in FY 2018-19 to total $778.8 million.,4
2018,,,40,Energy,coal,"No title could be extracted, please add manually",,http://leg.colorado.gov/sites/default/files/june2018forecast.pdf,,2017,2,"June, 26 2018 00:41:30","June, 19 2018 00:00:00",,,5,Political,COLORADO LEGISLATIVE COUNCIL STAFF ECONOMICS SECTION,Coal severance tax revenue in Colorado is expected to decrease 7.9 percent over year-ago revenue and generate $3.8 million in severance taxes in FY 2017-18.,4
2019,,,40,Government,tax,"No title could be extracted, please add manually",,http://leg.colorado.gov/sites/default/files/june2018forecast.pdf,,2017,2,"June, 26 2018 00:41:32","June, 19 2018 00:00:00",,,5,Political,COLORADO LEGISLATIVE COUNCIL STAFF ECONOMICS SECTION,Colorado's excise tax revenue is forecast to reach $76.1 million in FY 2017-18 and $75.1 million in FY 2018-19.,4
2019,,,12,Retail,retail,"No title could be extracted, please add manually",,http://leg.colorado.gov/sites/default/files/june2018forecast.pdf,,2018,,"June, 26 2018 00:41:33","June, 19 2018 00:00:00",,,3,Industries,COLORADO LEGISLATIVE COUNCIL STAFF ECONOMICS SECTION,Colorado retail sales are expected to increase 6.2 percent in 2018 and 5.2 percent in 2019.,4
2019,,,16,,economy,"No title could be extracted, please add manually",,http://leg.colorado.gov/sites/default/files/june2018forecast.pdf,Northern America,2018,,"June, 26 2018 00:41:35","June, 19 2018 00:00:00",,United States of America,4,Economic,COLORADO LEGISLATIVE COUNCIL STAFF ECONOMICS SECTION,"The U.S. and Colorado economies will continue to expand in 2018 and 2019, with growth expected to slow significantly in late 2019 and 2020.",4
2019,,,12,,,Ethane production growth led to record U.S. natural gas plant liquids production in 2017,,https://www.eia.gov/todayinenergy/detail.php?id=36494,Northern America,2018,,"June, 22 2018 06:38:39","June, 19 2018 00:00:00",,United States of America,3,,DOE EIA 2013 Energy Conference,Several more petrochemical plants are expected to come online in the United States in 2018 and 2019.,4
2018,,,12,,gdp,Weaker Economic Growth Forecast for All Provinces in 2018,Weakness,https://www.conferenceboard.ca/press/newsrelease/2018/05/29/weaker-economic-growth-forecast-for-all-provinces-in-2018?&AspxAutoDetectCookieSupport=1,,,,"June, 19 2018 13:42:23","June, 19 2018 00:00:00",,,3,Economic,Conference Board of Canada,Quebec and Ontario 's economies will advance at a more moderate pace this year as both provinces are facing weaker growth for household consumption: Both provinces can expect real GDP to expand by 2.2 per cent this year.,4
2048,,,9,,wastewater,Sewage treatment,Threat,https://en.wikipedia.org/wiki/Sewage_treatment,,,,"June, 19 2018 14:38:06","June, 19 2018 00:00:00",,,3,Environmental,Wikipedia,A significant threat in the coming decades will be the increasing uncontrolled discharges of wastewater within rapidly developing countries.,3
2018,,,60,Information Technology,internet of things,The IoT's Perplexing Security Problems,,https://www.ecommercetimes.com/story/The-IoTs-Perplexing-Security-Problems-85400.html,,,3,"June, 20 2018 12:28:51","June, 19 2018 00:00:00",,,5,Economic,E-Commerce Times,Cross-industry IoT spending will gobble up $92 billion this year.,4
2050,,,80,Energy,electricity,Coal Is Being Squeezed Out of Power by Cheap Renewables,Opportunity,https://www.bloomberg.com/news/articles/2018-06-19/coal-is-being-squeezed-out-of-power-industry-by-cheap-renewables,,2018,4,"June, 23 2018 11:53:03","June, 19 2018 00:00:00",,,5,Economic,Bloomberg Business,Some $11.5 trillion of investment will go into electricity generation between now and 2050.,4
2040,,,72,Aerospace & defence,economy,EUROCONTROL addresses serious issues facing capacity now and in future,,http://www.airsideint.com/eurocontrol-addresses-serious-issues-facing-capacity-now-and-in-future/,Europe,,3,"June, 25 2018 04:38:46","June, 19 2018 00:00:00",,,6,Economic,Airside International,The lack of airport capacity will result in €88.1bn in foregone economic activity in Europe by 2040.,4
2030,,,12,Manufacturing,plastic,Citizens collect plastic and data,,https://www.eea.europa.eu/themes/water/europes-seas-and-coasts/assessments/marine-litterwatch/briefing,,,,"June, 19 2018 14:00:31","June, 19 2018 00:00:00",,,4,Environmental,European Environment Agency,All plastic packaging in the EU will be recyclable by 2030.,3
2030,,,12,Transport,passenger,"Finavia issues ""biggest ever"" commercial tender at Helsinki Airport",,https://www.dfnionline.com/lead-stories/finavia-issues-biggest-ever-tender-13-retail-fb-spaces-helsinki-airport-19-06-2018/,,,,"June, 19 2018 13:35:08","June, 19 2018 00:00:00",,,3,Industries,DFNI,Capacity at Helsinki Airport will increase to 30 million passengers per year by 2030.,4
2024,,,72,Healthcare,emergency,Automotive Autonomous Emergency Braking (AEB) System Market,Threat,https://bizpr.co.uk/2018/06/19/automotive-autonomous-emergency-braking-aeb-system-market/,World,,3,"June, 20 2018 10:19:24","June, 19 2018 00:00:00",,,6,Political,BizPR.co.uk | UK Free Press Release and Distribution centre,Global Automotive Autonomous Emergency Braking System is expected to reach USD42.26 billion by 2024 at a CAGR of 14.7%.,4
2023,,,12,Transport,bicycle,"Ergometer Exercise Bikes Market Global Growth, Trends, Analysis and Forecast to 2023",,http://orbisnewsrelease.com/2018/06/19/ergometer-exercise-bikes-market-global-growth-trends-analysis-forecast-2023/,,,,"June, 26 2018 05:15:58","June, 19 2018 00:00:00",,,3,Industries,Orbis News Release,The worldwide market for Ergometer Exercise Bikes is expected to grow at a CAGR of roughly 2.3% over the next five years.,4
2028,,,9,Healthcare,medicine,Transformative Education and Healthcare Technologies Delivering Smart Cities Benefits Beyond Legacy Infrastructure Models,,https://www.abiresearch.com/press/transformative-education-and-healthcare-technologies-delivering-smart-cities-benefits-beyond-legacy-infrastructure-models/,,,,"June, 22 2018 03:25:27","June, 19 2018 00:00:00",,,3,Healthcare,ABI Research,"By 2028, the number of patients monitored remotely will exceed the number of patients monitored on-site in medical facilities.",3
2025,,,12,,,Global Smart Homes Market to be Worth US$97.61 Billion; Driven by Energy Efficiency Trend and IoT Bandwagon - TMR,,https://www.prnewswire.com/news-releases/global-smart-homes-market-to-be-worth-us9761-billion-driven-by-energy-efficiency-trend-and-iot-bandwagon---tmr-685900062.html,World,2017,,"June, 26 2018 04:03:02","June, 19 2018 00:00:00",,,3,,Cision,The demand in the global smart homes market will multiply at a striking CAGR of 14.6% during the forecast period of 2017 to 2025.,4
2020,,,16,,work,Mercedes cultivates its aging workforce,Threat,http://europe.autonews.com/article/20180619/COPY/306199951/mercedes-cultivates-aging-workforce,,2014,,"June, 22 2018 06:33:45","June, 19 2018 00:00:00",,,4,Social,Autonews,"Rival automaker BMW expects workers aged over 50 to make up more than 35 percent of its work force by 2020, from 25 percent in 2014.",4
2020,,,12,Financial services,policy,Launch of the 2018 Economic Survey of the United States,Opportunity,https://www.oecd.org/economy/launch-of-2018-economic-survey-of-the-united-states-june-2018.htm,,,,"June, 19 2018 01:37:38","June, 19 2018 00:00:00",,,3,Political,OECD,US debt levels are projected to rise by around 2 percentage points of GDP as fiscal policy loosens substantially over the next two years through tax reform and higher spending.,4
2020,,,12,,organization,"RPA Advances Apace, but More IT Involvement Needed",,http://deloitte.wsj.com/cio/2018/06/13/rpa-advances-apace-but-more-it-involvement-needed/?mod=WSJBlog?&mod=&id=us%253A2sm%253A3tw%253A4ciojournal%253A5%253A6cio%253A20180616%253A%253ADeloitteOnTech&linkId=53021247,,,,"June, 19 2018 12:46:27","June, 19 2018 00:00:00",,,3,Organization,WSJ,Fifty-three percent of organizations have already started their RPA journeys that's expected to increase to 72 percent in the next two years.,4
2020,,,40,Energy,electricity,"No title could be extracted, please add manually",,http://leg.colorado.gov/sites/default/files/june2018forecast.pdf,,2018,2,"June, 26 2018 00:41:31","June, 19 2018 00:00:00",,,5,Political,COLORADO LEGISLATIVE COUNCIL STAFF ECONOMICS SECTION,Coal severance taxes are expected to decline an additional 5.2 percent in FY 2018-19 to $3.6 million and 5.8 percent to $3.4 million in FY 2019-20 as the demand for coal as a fuel for electricity production declines.,4
2021,,,12,,,Network Forensics Market To Grow At a CAGR Of 15.14 % During The Period 2017-2021,,http://www.thecomicjournal.com/2018/06/19/network-forensics-market-to-grow-at-a-cagr-of-15-14-during-the-period-2017-2021/,World,2017,,"June, 26 2018 05:22:57","June, 19 2018 00:00:00",,,3,,The Comic Journal,Industry analysts forecast the global network forensics market to grow at a CAGR of 15.14% during the period 2017-2021.,4
2022,,,16,,,"Apple Watch adding LTE shone a spotlight on smartwatches, says IDC",,https://www.wareable.com/apple/apple-cellular-attention-smartwatches-2018,,,,"June, 22 2018 01:49:20","June, 19 2018 00:00:00",,,4,,Wareable,Selling prices for fitness trackers are expected to drop $50 by 2022.,4
2022,,,40,,,HTPB Market worth 215.7 M USD by 2022,,https://www.asdreports.com/news-28826/htpb-market-worth-2157-m-usd-2022,World,,2,"June, 22 2018 04:54:09","June, 19 2018 00:00:00",,,5,,asdreports,Global Forecast to 2022 HTPB market projected to reach USD215.7 Million by 2022.,4
2021,,,16,Information Technology,software,"ERP Software Market 2018 Global Trends, Statistics, Size, Share, Regional Analysis by Key Players | Industry Forecast by Installation, Application, Industry Verticals",Opportunity,https://www.marketwatch.com/story/erp-software-market-2018-global-trends-statistics-size-share-regional-analysis-by-key-players-industry-forecast-by-installation-application-industry-verticals-2018-06-19,World,,,"June, 25 2018 05:14:03","June, 19 2018 00:00:00",,,4,Technological,MarketWatch,The global ERP Software Market will register remarkable success in the coming years.,4
2019,,,12,Retail,transport,"No title could be extracted, please add manually",,http://leg.colorado.gov/sites/default/files/june2018forecast.pdf,,2017,,"June, 26 2018 00:41:28","June, 19 2018 00:00:00",,,3,Industries,COLORADO LEGISLATIVE COUNCIL STAFF ECONOMICS SECTION,"Colorado's transportation funding will increase 3.3 percent in FY 2017-18 to$ 1,260.7 million and grow 2.1 percent in FY 2018-19.",4
2018,,,40,Manufacturing,tax,"No title could be extracted, please add manually",,http://leg.colorado.gov/sites/default/files/june2018forecast.pdf,,2017,2,"June, 26 2018 00:41:31","June, 19 2018 00:00:00",,,5,Political,COLORADO LEGISLATIVE COUNCIL STAFF ECONOMICS SECTION,Colorado metal and molybdenum mines will pay $2.4 million in severance taxes on the value of minerals produced in FY 2017-18.,4
2019,,,16,,gdp,"No title could be extracted, please add manually",,http://leg.colorado.gov/sites/default/files/june2018forecast.pdf,Northern America,2018,,"June, 26 2018 00:41:32","June, 19 2018 00:00:00",,United States of America,4,Economic,COLORADO LEGISLATIVE COUNCIL STAFF ECONOMICS SECTION,Real U.S. GDP is expected to increase 2.9 percent in 2018 and 2.3 percent in 2019.,4
2019,,,12,Construction,construction,"No title could be extracted, please add manually",,http://leg.colorado.gov/sites/default/files/june2018forecast.pdf,,2018,,"June, 26 2018 00:41:33","June, 19 2018 00:00:00",,,3,Environmental,COLORADO LEGISLATIVE COUNCIL STAFF ECONOMICS SECTION,The number of permitted residential construction projects in Colorado is expected to increase 21.0 percent in 2018 and 4.3 percent in 2019.,4
2018,,,16,,policy,Smart Speaker Owners Aren't Yet Widely Using Them to Control Connected Home Devices,,https://www.macrumors.com/2018/06/19/smart-speaker-connected-home/,Northern America,,,"June, 25 2018 00:38:04","June, 19 2018 00:00:00",,,4,Organization,Mac Rumors,More than one million home policies in North America will include at least one connected home device by the end of the year.,4
2048,,,9,Manufacturing,machine,Out of their minds: wild ideas at the 'Coachella of consciousness',,https://www.theguardian.com/news/2018/jun/19/out-of-their-minds-wild-ideas-at-the-coachella-of-consciousness?CMP=twt_a-science_b-gdnscience,,,,"June, 20 2018 12:55:26","June, 19 2018 00:00:00",,,3,Industries,Andrew Simms,"Within decades, machines will be able to write books, compose music, direct films.",3
2018,,,12,Retail,gdp,Weaker Economic Growth Forecast for All Provinces in 2018,Weakness,https://www.conferenceboard.ca/press/newsrelease/2018/05/29/weaker-economic-growth-forecast-for-all-provinces-in-2018?&AspxAutoDetectCookieSupport=1,,,,"June, 19 2018 13:42:23","June, 19 2018 00:00:00",,,3,Economic,Conference Board of Canada,Real GDP growth is expected to ease from 2.9 per cent last year to 2.1 per cent in 2018 due to weak consumer spending at the start of the year.,4
2019,,,16,Food & agriculture,food,Taking food safety to a higher level,,https://www.iso.org/news/ref2299.html,,,,"June, 19 2018 17:12:00","June, 19 2018 00:00:00",,,4,Environmental,iso,"From next year, the European Union is expected to allow insects to be used to make livestock food for poultry and pigs.",4
2050,,,8,Food & agriculture,water,Study: Climate action can limit Asia's growing water shortages,Weakness,http://news.mit.edu/2018/study-climate-action-limit-asia-growing-water-shortages-0619,Asia,,,"June, 22 2018 05:22:06","June, 19 2018 00:00:00",,,4,Environmental,MIT News,"Even ""modest"" action to limit climate change could help prevent the most extreme water-shortage scenarios facing Asia by the year 2050.",2
2050,,,15,Environment,electricity,"World on track for 50% renewables by 2050, says Bloomberg energy outlook",,https://www.utilitydive.com/news/world-on-track-for-50-renewables-by-2050-says-bloomberg-energy-outlook/526052/,World,,,"June, 24 2018 12:07:44","June, 19 2018 00:00:00",,,5,Environmental,Utility Dive,A new analysis from Bloomberg New Energy Finance predicts a global electricity supply mostly fueled by carbon-free sources by 2050.,3
2045,,,60,Energy,greenhouse gas,"Flooding from sea level rise threatens over 300,000 US coastal homes - study",,https://www.theguardian.com/environment/2018/jun/17/sea-level-rise-impact-us-coastal-homes-study-climate-change,,,3,"June, 20 2018 09:00:57","June, 18 2018 00:00:00",,,5,Environmental,Andrew Simms,The swelling oceans are forecast repeatedly to soak coastal residences collectively worth $120bn by 2045 if greenhouse gas emissions are not severely curtailed.,4
2018,,,60,Information Technology,security,The Growing Importance of Data Security for IoT - ReadWrite,,https://www.sara.id.au/the-growing-importance-of-data-security-for-iot-readwrite/2018/,,,3,"June, 21 2018 00:47:57","June, 18 2018 00:00:00",,,5,Political,ReadWrite,Worldwide spending on IoT security will reach $1.5 billion this year.,4
2048,,,12,Financial services,population,Demographics and Long Run Growth,,http://bruegel.org/2018/06/demographics-and-long-run-growth/,,,,"June, 18 2018 12:30:10","June, 18 2018 00:00:00",,,4,Economic,Bruegel,Population aging predicted for the next decades is found to be a significant factor in reducing output growth and real interest rates across OECD countries.,3
